Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
94,47,4,16,12,104,97,97,93,90,0
160,68,4,13,13,97,97,88,90,86,0
166,69,8,14,11,97,93,95,90,86,0
169,66,3,14,11,100,93,93,90,90,0
158,61,8,10,10,97,93,91,90,86,0
136,47,3,9,12,100,93,93,90,90,0
150,54,6,9,12,104,102,95,91,90,0
169,64,2,12,9,104,100,90,90,90,0
172,62,2,11,11,108,104,97,93,90,0
196,83,6,11,13,100,97,91,90,86,0
189,85,7,9,13,104,100,97,93,86,0
160,53,4,10,12,108,108,99,93,93,0
170,72,7,9,12,108,108,97,97,90,0
142,47,4,7,10,104,104,97,93,93,0
150,64,6,10,8,100,100,93,90,86,0
125,44,2,9,9,108,104,97,97,93,0
132,54,11,7,12,108,104,97,95,88,0
7,3,0,1,0,0,0,0,0,0,0
123,47,4,10,8,104,100,93,90,90,0
132,59,9,11,10,104,100,97,91,88,0
2,1,0,0,0,3,3,0,0,0,0
111,34,2,9,6,108,104,97,90,90,0
111,49,7,9,5,108,104,100,82,75,0
84,29,1,9,6,108,106,99,93,90,0
72,30,8,10,5,108,104,97,95,90,0
94,30,1,9,10,111,108,93,100,91,0
80,34,7,9,5,108,106,97,97,88,0
85,32,1,6,6,111,108,99,93,90,0
75,27,6,8,5,111,108,100,97,90,0
74,29,1,6,5,111,108,93,91,88,0
72,24,1,8,4,111,108,90,93,86,0
83,31,1,5,5,108,108,93,93,86,0
85,31,1,9,5,108,100,104,68,75,0
2,2,0,0,2,3,7,0,0,5,0
84,32,3,6,6,108,108,104,93,90,0
84,31,6,10,5,108,100,108,90,86,0
2,1,0,0,0,0,0,0,0,0,0
81,31,1,7,5,108,104,93,93,86,0
78,30,5,7,3,108,104,100,97,82,0
78,28,2,6,2,111,108,97,88,90,0
62,26,8,8,2,108,104,95,91,86,0
78,28,2,5,3,111,108,97,100,86,0
67,24,4,10,3,111,109,104,99,90,0
73,27,2,7,4,108,104,99,88,90,0
72,29,11,11,5,108,102,99,95,88,0
81,30,1,4,2,108,104,104,97,90,0
74,32,8,7,4,111,108,104,93,91,0
82,29,2,7,3,108,104,102,82,84,0
67,27,9,7,4,108,104,104,93,82,0
1,0,0,0,0,3,0,0,0,0,0
92,33,2,5,3,108,104,97,93,93,0
76,30,6,6,5,108,100,97,93,90,0
2,0,0,0,0,0,0,0,0,0,0
84,35,1,8,3,111,108,97,97,90,0
75,28,3,6,7,111,108,97,104,93,0
99,40,2,10,5,108,104,100,90,90,0
85,35,5,6,8,108,108,100,100,90,0
101,40,1,10,6,108,104,97,93,91,0
72,28,3,5,8,111,108,100,97,93,0
108,42,3,11,6,108,104,100,75,90,0
80,36,4,7,11,108,104,102,75,64,0
0,0,0,0,0,0,0,0,0,0,0
12,3,0,1,0,75,75,0,66,0,0
84,33,2,9,7,108,104,100,93,86,0
6,4,0,1,3,93,93,0,82,75,0
1,0,0,0,1,46,0,0,0,68,0
64,23,1,7,12,108,104,97,93,86,0
83,29,2,11,16,108,104,99,93,90,0
63,23,3,7,17,108,108,95,93,90,0
113,44,3,12,20,108,104,97,93,90,0
89,32,3,9,21,104,104,97,93,90,0
106,39,4,9,19,108,100,97,93,86,0
68,33,2,7,21,108,104,100,91,90,0
1,0,0,0,0,32,0,0,0,0,0
10,5,0,1,5,91,82,0,79,82,0
60,22,2,8,3,106,100,95,90,93,0
0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,1,82,79,0,0,61,0
48,22,2,9,7,108,104,93,86,90,0
68,23,1,8,5,111,104,97,93,95,0
64,24,2,8,5,104,104,86,93,86,0
57,26,1,9,5,104,104,90,90,90,0
45,17,2,6,5,106,100,86,86,88,0
59,25,1,8,5,104,104,104,90,86,0
38,15,0,7,4,108,102,0,86,86,0
45,20,0,9,3,104,102,0,90,90,0
45,20,1,7,2,104,100,82,82,86,0
37,13,1,2,2,104,104,90,93,82,0
41,16,0,6,1,108,104,0,95,93,0
64,23,3,6,3,104,100,86,88,82,0
59,25,0,4,4,93,93,0,88,82,0
20,7,0,2,0,108,100,0,90,0,0
18,8,0,2,0,100,95,0,97,0,0
117,27,5,0,0,75,75,75,0,0,0
67,20,2,0,1,93,93,91,0,90,0
58,22,2,0,0,61,57,57,0,0,0
109,34,4,0,0,79,79,73,0,0,0
146,43,3,0,0,75,75,75,0,0,0
120,37,4,1,0,68,68,68,68,0,0
103,28,2,0,0,90,88,84,0,0,0
80,31,3,1,0,86,82,75,72,0,0
64,20,2,2,3,97,93,84,90,84,0
57,27,2,1,3,90,90,86,86,82,0
16,7,0,0,3,97,100,0,0,91,0
34,9,0,0,2,95,90,0,0,84,0
28,15,0,1,3,97,93,0,79,86,0
21,7,0,1,1,100,99,0,90,93,0
164,54,5,7,11,79,77,75,75,75,1
183,50,10,12,13,10,10,10,7,10,1
237,90,4,25,33,36,36,37,39,39,1
194,60,7,14,12,93,93,86,86,86,1
106,36,1,20,23,68,68,54,68,72,1
171,74,3,20,19,72,68,64,64,66,1
260,88,10,23,13,46,46,50,46,46,1
144,57,3,15,12,25,25,25,25,25,1
170,66,5,13,9,54,54,54,50,54,1
249,59,7,11,5,61,57,57,57,57,1
132,64,1,25,13,48,46,39,43,43,1
178,60,5,11,8,90,90,86,82,81,1
191,47,3,3,2,97,93,90,90,86,1
142,34,5,9,9,86,86,79,79,72,1
214,73,2,23,21,18,18,18,18,21,1
187,64,3,22,22,28,32,39,36,37,1
128,47,2,17,18,108,100,97,86,86,1
166,79,2,30,16,90,90,82,82,82,1
101,32,1,7,3,18,18,14,18,27,1
38,9,0,15,21,97,90,0,79,79,1
77,26,3,9,10,104,100,93,90,90,1
